Brand,Labelled energy consumption (kWh/year),New Star,Prog Name,Prog Time,standbyPowerUsage,Tot Wat Cons,Water_Softener,Water Consumption (litres)
AWARD,278,3.0,Eco 50 degrees,142.0,0.06,12.0,No,12.3
AWARD,276,3.5,ECO 50,155.73,0.08,13.4,No,13.3
AWARD,276,3.5,ECO 50,155.73,0.08,13.4,No,13.3
AWARD,276,3.5,ECO 50,155.73,0.08,13.4,No,13.3
AWARD,205,3.0,ECO,181.89,0.47,10.9,No,17.0
AWARD,294,3.5,ECO,156.93,0.08,13.4,No,13.4
BELLINI,256,3.0,NORMAL,171.0,0.46,10.2,No,10.2
BELLINI,256,3.0,NORMAL,171.0,0.46,10.2,No,10.2
BELLINI,256,3.0,NORMAL,171.0,0.46,10.2,No,10.2
BELLINI,256,3.0,NORMAL,171.0,0.46,10.2,No,10.2
BELLINI,256,3.0,NORMAL,171.0,0.46,10.2,No,10.2
TRIESTE,205,3.0,ECO,181.89,0.48,10.9,No,10.9
TRIESTE,287,3.0,ECO at 50 degrees C,175.0,0.49,12.3,No,12.3
KitchenAid,324,2.5,Eco 50°,200.0,0.432,13.5,Yes,13.5
ROBAM,245,4.0,Economic 50°C,136.29,0.08,12.0,No,12.2
PARMCO,290,3.0,Normal,113.0,0.0,13.48,No,13.7
PARMCO,290,3.0,Normal,113.0,0.0,13.48,No,13.7
PARMCO,290,3.0,Normal,113.0,0.0,13.48,No,13.7
PARMCO,290,3.0,Normal,113.0,0.0,13.48,No,13.7
PARMCO,204,3.0,Normal,110.0,0.035,9.2,No,9.4
ROBAM,245,4.0,Economic 50°C,136.29,0.08,12.0,No,12.2
ROBAM,245,4.0,Economic 50°C,136.29,0.08,12.0,No,12.2
ROBAM,245,4.0,Economic 50°C,136.29,0.08,12.0,No,12.2
Inalto,137,3.5,Eco,170.0,0.39994,6.667,No,6.6
MIELE,324,3.0,Eco,142.0,0.1,14.0,Yes,14.0
MIELE,324,3.0,Eco,142.0,0.1,14.0,Yes,14.0
MIELE,324,3.0,Eco,142.0,0.1,14.0,Yes,14.0
Inalto,189,3.5,ECO,209.4,0.478834,11.0,No,11.0
BEKO,324,3.0,Eco 45°C,136.39,0.349,9.95,No,10.4
BEKO,324,3.0,Eco 45°C,136.39,0.349,9.95,No,10.4
BEKO,324,3.0,Eco 45°C,136.39,0.349,9.95,No,10.4
AKAI,245,4.0,Normal,165.0,0.41,12.1,No,12.3
AKAI,282,3.0,ECO,186.06,0.0,10.7,No,11.0
VOGUE,270,3.0,ECO,186.06,0.0,10.7,No,10.7
CASA,158,2.5,Normal,129.91,0.52,7.4,No,7.4
CASA,295,3.0,ECO,175.0,0.49,12.3,No,12.3
CASA,267,3.0,ECO,186.06,0.48,10.7,No,10.7
MIELE,186,4.5,Eco,228.0,0.21,9.17,Yes,9.2
MIELE,186,4.5,Eco,228.0,0.21,9.17,Yes,9.2
MIELE,186,4.5,Eco,228.0,0.21,9.17,Yes,9.2
EURO,137,3.5,ECO,170.0,0.359,6.6,No,6.6
EURO,137,3.5,ECO,170.0,0.39994,6.667,No,6.6
IKEA,296,3.0,Eco 50 degree,164.0,0.34,12.3,Yes,12.3
AKAI,274,3.0,Normal,112.0,0.0,11.3,No,11.8
MIDEA,265,3.0,Normal,171.13,0.46,10.2,No,10.2
La Germania,299,3.0,Eco 50°,143.0,-,12.3,No,12.8
HISENSE,274,3.5,ECO,169.0,0.0,12.65,No,12.7
FISHER & PAYKEL,245,4.0,Eco,230.0,1.2,11.0,No,10.8
FISHER & PAYKEL,245,4.0,Eco,230.0,1.2,11.0,No,10.8
MIDEA,142,1.0,ECO,176.5,0.579,4.95,No,4.95
MIDEA,230,4.0,ECO,195.0,1.03,11.98,No,12.2
MIDEA,259,3.5,Normal,168.5,0.47,12.0,No,12.0
MIDEA,265,3.5,Normal,168.5,0.47,12.0,No,12.0
MIDEA,137,3.5,ECO,172.81,0.39994,6.667,No,6.667
