siteID,latitude,longitude,plotId,startVisitDate,endVisitDate,tagNumber,species,treeAlivestatus,diameterAtBreastHeight,treeForm,treeHeight,numberOfHollows,hollowHeight,hollowLength,hollowWidth,hollowLocation,hollowType,aspect	Length of an individual hollow
Karawatha Peri-Urban,-27.62789,153.08807,C5,1/6/09,31/8/09,C500024,C. gummifera,a,482,2,17.6,1,12.1,12,12,secondary,branch butt,N
Karawatha Peri-Urban,-27.62789,153.08807,C5,1/6/09,31/8/09,C500024,C. gummifera,a,482,2,17.6,2,14.5,10,10,tertiary,hole,E
Karawatha Peri-Urban,-27.62789,153.08807,E3,1/6/09,31/8/09,E300243,C. gummifera,a,583,1,11,1,9,30,30,trunk,top,up
Karawatha Peri-Urban,-27.62789,153.08807,E3,1/6/09,31/8/09,E300243,C. gummifera,a,583,1,11,2,9,35,30,primary,hole,NW
Karawatha Peri-Urban,-27.62789,153.08807,C5,1/6/09,31/8/09,C500008,C. intermedia,a,538,2,19,1,12.1,16,15,secondary,branch end,E
Karawatha Peri-Urban,-27.62789,153.08807,C6,1/6/09,31/8/09,C600133,C. trachyphloia,a,572,2,17.8,2,3.5,12,4,Trunk,hole,S
Karawatha Peri-Urban,-27.62789,153.08807,C6,1/6/09,31/8/09,C600133,C. trachyphloia,a,572,2,17.8,1,7.1,22,19,primary,hole,up
Karawatha Peri-Urban,-27.62789,153.08807,D3,1/6/09,31/8/09,D300430,C. trachyphloia,d,402,6,16.5,2,5,18,11,trunk,hole,E
Karawatha Peri-Urban,-27.62789,153.08807,D3,1/6/09,31/8/09,D300430,C. trachyphloia,d,402,6,16.5,1,7.6,12,10,trunk,hole,NNW
Karawatha Peri-Urban,-27.62789,153.08807,D6,1/6/09,31/8/09,D600049,C.citridora,a,472,1,17.2,1,5.6,10,12,Trunk,hole,W
Karawatha Peri-Urban,-27.62789,153.08807,E2,1/6/09,31/8/09,E200028,C.henrii,a,1035,1,30,1,22,45,25,primary,hole,NW
Karawatha Peri-Urban,-27.62789,153.08807,E2,1/6/09,31/8/09,E200107,C.henrii,a,586,1,12,1,5,6,6,secondary,branch butt,NW
Karawatha Peri-Urban,-27.62789,153.08807,A7,1/6/09,31/8/09,A700008,dead,d,408,4,12,2,6,35,35,secondary,branch end,SW
Karawatha Peri-Urban,-27.62789,153.08807,A7,1/6/09,31/8/09,A700008,dead,d,408,4,12,1,8,40,40,primary,branch end,SE
Karawatha Peri-Urban,-27.62789,153.08807,A8,1/6/09,31/8/09,A800171,dead,d,610,5,18,1,14,15,15,primary,branch end,W
Karawatha Peri-Urban,-27.62789,153.08807,A8,1/6/09,31/8/09,A800171,dead,d,610,5,18,2,16.5,20,20,secondary,branch end,NW
Karawatha Peri-Urban,-27.62789,153.08807,A8,1/6/09,31/8/09,A800171,dead,d,610,5,18,3,14,16,16,secondary,branch butt,N
Karawatha Peri-Urban,-27.62789,153.08807,A8,1/6/09,31/8/09,A800171,dead,d,610,5,18,4,14,14,14,secondary,branch end,NW
Karawatha Peri-Urban,-27.62789,153.08807,A8,1/6/09,31/8/09,A800171,dead,d,610,5,18,4,16.5,20,20,secondary,branch end,NW
Karawatha Peri-Urban,-27.62789,153.08807,A8,1/6/09,31/8/09,A800178,dead,a,399,6,14,1,6.9,40,25,trunk,hole,E
Karawatha Peri-Urban,-27.62789,153.08807,A8,1/6/09,31/8/09,A800178,dead,d,399,6,14,1,6.9,40,25,trunk,hole,E
Karawatha Peri-Urban,-27.62789,153.08807,C3,1/6/09,31/8/09,C300308,Dead,d,329,6,12.4,1,7.3,9,6,trunk,hole,NW
Karawatha Peri-Urban,-27.62789,153.08807,C5,1/6/09,31/8/09,C500001,Dead,d,768,5,16,1,13.9,15,15,secondary,hole,W
Karawatha Peri-Urban,-27.62789,153.08807,C5,1/6/09,31/8/09,C500001,Dead,d,768,5,16,2,14.9,36,15,primary,fissure,NE
Karawatha Peri-Urban,-27.62789,153.08807,C5,1/6/09,31/8/09,C500029,Dead,d,598,5,17,3,10.7,12,12,trunk,branch butt,W
Karawatha Peri-Urban,-27.62789,153.08807,C5,1/6/09,31/8/09,C500029,Dead,d,598,5,17,1,12,22,21,trunk,branch butt,NE
Karawatha Peri-Urban,-27.62789,153.08807,C5,1/6/09,31/8/09,C500029,Dead,d,598,5,17,2,13.5,17,17,primary,branch butt,W
Karawatha Peri-Urban,-27.62789,153.08807,C5,1/6/09,31/8/09,C500041,Dead,d,641,6,10.5,1,9.5,18,18,primary,branch butt,NE
Karawatha Peri-Urban,-27.62789,153.08807,C5,1/6/09,31/8/09,C500262,Dead,d,465,6,7,1,4.5,12,12,secondary,hollow branch,SE
Karawatha Peri-Urban,-27.62789,153.08807,D2,1/6/09,31/8/09,D200280,Dead,d,461,4,14.4,1,7.9,8,8,secondary,branch butt,SW
Karawatha Peri-Urban,-27.62789,153.08807,D3,1/6/09,31/8/09,D300474,Dead,d,318,3,15.1,1,4.2,15,15,trunk,hole,NE
Karawatha Peri-Urban,-27.62789,153.08807,D3,1/6/09,31/8/09,D300485,Dead,a,457,3,19,1,6.4,20,10,trunk,hole,SW
Karawatha Peri-Urban,-27.62789,153.08807,D5,1/6/09,31/8/09,D500298,dead,d,665,6,19,1,15,5,5,secondary,hole,N
Karawatha Peri-Urban,-27.62789,153.08807,E2,1/6/09,31/8/09,E200228,Dead,d,455,4,16.6,1,9.8,12,12,Primary,Branch end,N
Karawatha Peri-Urban,-27.62789,153.08807,E2,1/6/09,31/8/09,E200274,Dead,d,447,4,12,1,6,12,16,Trunk,Branch butt,N
Karawatha Peri-Urban,-27.62789,153.08807,E5,1/6/09,31/8/09,E500010,Dead,d,467,4,12,1,6,7,7,trunk,branch butt,E
Karawatha Peri-Urban,-27.62789,153.08807,E5,1/6/09,31/8/09,E500211,dead,d,655,4,18.9,3,12.1,18,18,trunk,branch butt,SW
Karawatha Peri-Urban,-27.62789,153.08807,E5,1/6/09,31/8/09,E500211,dead,d,655,4,18.9,1,12.8,18,18,trunk,branch butt,E
Karawatha Peri-Urban,-27.62789,153.08807,E5,1/6/09,31/8/09,E500211,dead,d,655,4,18.9,2,15.5,19,17,primary,hole,NE
Karawatha Peri-Urban,-27.62789,153.08807,E5,1/6/09,31/8/09,E500211,dead,d,655,4,18.9,4,15.6,18,18,primary,branch end,SE
Karawatha Peri-Urban,-27.62789,153.08807,F6,1/6/09,31/8/09,F600333,Dead,d,364,4,12,1,8,45,15,primary,fissure,NW
